external_urls,followers,genres,href,id,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/3TymzPhJTMyupk7P5xkahM'},"{'href': None, 'total': 7673}",['movie tunes'],https://api.spotify.com/v1/artists/3TymzPhJTMyupk7P5xkahM,3TymzPhJTMyupk7P5xkahM,[],Original Broadway Cast - The Little Mermaid,0,artist,spotify:artist:3TymzPhJTMyupk7P5xkahM
{'spotify': 'https://open.spotify.com/artist/1j4a3bBWYNjecFqxcjRtr5'},"{'href': None, 'total': 1308}",[],https://api.spotify.com/v1/artists/1j4a3bBWYNjecFqxcjRtr5,1j4a3bBWYNjecFqxcjRtr5,[],Sierra Boggess as Ariel,31,artist,spotify:artist:1j4a3bBWYNjecFqxcjRtr5
{'spotify': 'https://open.spotify.com/artist/5sy77gt4bfsLcSQ8GIe4ZZ'},"{'href': None, 'total': 120656}","['broadway', 'movie tunes', 'orchestral soundtrack']",https://api.spotify.com/v1/artists/5sy77gt4bfsLcSQ8GIe4ZZ,5sy77gt4bfsLcSQ8GIe4ZZ,"[{'height': 1143, 'url': 'https://i.scdn.co/image/aaf98f449a8c8716b1dc68a782e8eb3ed8651515', 'width': 1000}, {'height': 731, 'url': 'https://i.scdn.co/image/1c60f15a747fb966ac6f501e7633178263202bf0', 'width': 640}, {'height': 229, 'url': 'https://i.scdn.co/image/8afabd54eb79726f789c92919d6e55273d9f9b4f', 'width': 200}, {'height': 73, 'url': 'https://i.scdn.co/image/fbe7ed4819c2ae4d4bbd0eea4ef58519daed7a4b', 'width': 64}]",Alan Menken,59,artist,spotify:artist:5sy77gt4bfsLcSQ8GIe4ZZ
{'spotify': 'https://open.spotify.com/artist/1RJ9qwSsCfnOcTXBSqotNk'},"{'href': None, 'total': 631}",[],https://api.spotify.com/v1/artists/1RJ9qwSsCfnOcTXBSqotNk,1RJ9qwSsCfnOcTXBSqotNk,[],Ariel,22,artist,spotify:artist:1RJ9qwSsCfnOcTXBSqotNk
{'spotify': 'https://open.spotify.com/artist/6Id8rcDNyBXPcgKQVfQ8rX'},"{'href': None, 'total': 27946}",['movie tunes'],https://api.spotify.com/v1/artists/6Id8rcDNyBXPcgKQVfQ8rX,6Id8rcDNyBXPcgKQVfQ8rX,[],Samuel E. Wright,53,artist,spotify:artist:6Id8rcDNyBXPcgKQVfQ8rX
{'spotify': 'https://open.spotify.com/artist/0Yy9u86cq66Se2pB9fYaiW'},"{'href': None, 'total': 8924}",['movie tunes'],https://api.spotify.com/v1/artists/0Yy9u86cq66Se2pB9fYaiW,0Yy9u86cq66Se2pB9fYaiW,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27305d0d8ec1b50e468268e1a54', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0205d0d8ec1b50e468268e1a54', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485105d0d8ec1b50e468268e1a54', 'width': 64}]",Pat Carroll,43,artist,spotify:artist:0Yy9u86cq66Se2pB9fYaiW
{'spotify': 'https://open.spotify.com/artist/4mmMtabvFCKA6HfmVmitNH'},"{'href': None, 'total': 41630}",['movie tunes'],https://api.spotify.com/v1/artists/4mmMtabvFCKA6HfmVmitNH,4mmMtabvFCKA6HfmVmitNH,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb583a4cf451be21040cfaa0a4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174583a4cf451be21040cfaa0a4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178583a4cf451be21040cfaa0a4', 'width': 160}]",Jodi Benson,50,artist,spotify:artist:4mmMtabvFCKA6HfmVmitNH
{'spotify': 'https://open.spotify.com/artist/3bEmnpduyFyrEBuTz6cLhY'},"{'href': None, 'total': 770}",['movie tunes'],https://api.spotify.com/v1/artists/3bEmnpduyFyrEBuTz6cLhY,3bEmnpduyFyrEBuTz6cLhY,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c252def8ccfd26883d253f82', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c252def8ccfd26883d253f82', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c252def8ccfd26883d253f82', 'width': 64}]",Daughters of Triton,0,artist,spotify:artist:3bEmnpduyFyrEBuTz6cLhY
{'spotify': 'https://open.spotify.com/artist/2ddxtfC0oS8LoktXUHE7YL'},"{'href': None, 'total': 1314407}","['dance pop', 'pop', 'post-teen pop']",https://api.spotify.com/v1/artists/2ddxtfC0oS8LoktXUHE7YL,2ddxtfC0oS8LoktXUHE7YL,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf9205905ea9befd6398fdc34', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f9205905ea9befd6398fdc34', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f9205905ea9befd6398fdc34', 'width': 160}]",Ashley Tisdale,48,artist,spotify:artist:2ddxtfC0oS8LoktXUHE7YL
{'spotify': 'https://open.spotify.com/artist/0uxCcs6uoQy6StkrWS1QjW'},"{'href': None, 'total': 52335}",['movie tunes'],https://api.spotify.com/v1/artists/0uxCcs6uoQy6StkrWS1QjW,0uxCcs6uoQy6StkrWS1QjW,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735a65b0320011cd7a36363eb1', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025a65b0320011cd7a36363eb1', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515a65b0320011cd7a36363eb1', 'width': 64}]",Disney Studio Chorus,48,artist,spotify:artist:0uxCcs6uoQy6StkrWS1QjW
