id,name,images,release_date,url,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
5IbCV9Icebx8rR6wAp5hhP,Fathoms Below,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27314b2df570f350a4565010dba', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0214b2df570f350a4565010dba', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485114b2df570f350a4565010dba', 'width': 64}]",2008-02-26,https://open.spotify.com/track/5IbCV9Icebx8rR6wAp5hhP,3fCXc1wr3LDv2bfrqNQVrx,35,0.451,0.258,2,-15.947,1,0.0681,0.763,0.0,0.136,0.646,78.62,audio_features,spotify:track:5IbCV9Icebx8rR6wAp5hhP,https://api.spotify.com/v1/tracks/5IbCV9Icebx8rR6wAp5hhP,https://api.spotify.com/v1/audio-analysis/5IbCV9Icebx8rR6wAp5hhP,154507,4
6rKVAvjHcxAzZ1BHtwh5yC,Daughters of Triton,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27314b2df570f350a4565010dba', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0214b2df570f350a4565010dba', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485114b2df570f350a4565010dba', 'width': 64}]",2008-02-26,https://open.spotify.com/track/6rKVAvjHcxAzZ1BHtwh5yC,40gAnqVkjZdEzBOR4kTWAe,36,0.588,0.189,0,-17.737,1,0.0451,0.756,0.0,0.169,0.904,140.467,audio_features,spotify:track:6rKVAvjHcxAzZ1BHtwh5yC,https://api.spotify.com/v1/tracks/6rKVAvjHcxAzZ1BHtwh5yC,https://api.spotify.com/v1/audio-analysis/6rKVAvjHcxAzZ1BHtwh5yC,79067,4
6Jlkb1Wh08RYHstWScsTvg,The World Above,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27314b2df570f350a4565010dba', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0214b2df570f350a4565010dba', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485114b2df570f350a4565010dba', 'width': 64}]",2008-02-26,https://open.spotify.com/track/6Jlkb1Wh08RYHstWScsTvg,1j4a3bBWYNjecFqxcjRtr5,37,0.281,0.0652,6,-22.218,1,0.0388,0.959,9.75e-06,0.102,0.316,77.442,audio_features,spotify:track:6Jlkb1Wh08RYHstWScsTvg,https://api.spotify.com/v1/tracks/6Jlkb1Wh08RYHstWScsTvg,https://api.spotify.com/v1/audio-analysis/6Jlkb1Wh08RYHstWScsTvg,94600,4
0XhC8bfStML9ygBmfOt1JJ,Human Stuff,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27314b2df570f350a4565010dba', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0214b2df570f350a4565010dba', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485114b2df570f350a4565010dba', 'width': 64}]",2008-02-26,https://open.spotify.com/track/0XhC8bfStML9ygBmfOt1JJ,3IdfF8j5nmyuiNJBwO2QE1,34,0.746,0.3,8,-16.037,1,0.164,0.682,0.0,0.39,0.842,130.248,audio_features,spotify:track:0XhC8bfStML9ygBmfOt1JJ,https://api.spotify.com/v1/tracks/0XhC8bfStML9ygBmfOt1JJ,https://api.spotify.com/v1/audio-analysis/0XhC8bfStML9ygBmfOt1JJ,151480,4
0ABxAcsRWlqckkyONsfP67,I Want the Good Times Back,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27314b2df570f350a4565010dba', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0214b2df570f350a4565010dba', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485114b2df570f350a4565010dba', 'width': 64}]",2008-02-26,https://open.spotify.com/track/0ABxAcsRWlqckkyONsfP67,1HhkosdGea2IQL7o103ue8,35,0.493,0.235,7,-14.847,1,0.14,0.732,0.0,0.126,0.455,81.576,audio_features,spotify:track:0ABxAcsRWlqckkyONsfP67,https://api.spotify.com/v1/tracks/0ABxAcsRWlqckkyONsfP67,https://api.spotify.com/v1/audio-analysis/0ABxAcsRWlqckkyONsfP67,297920,4
1iVkEiZS6ijZ76KeMsrXG6,Part of Your World,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27314b2df570f350a4565010dba', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0214b2df570f350a4565010dba', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485114b2df570f350a4565010dba', 'width': 64}]",2008-02-26,https://open.spotify.com/track/1iVkEiZS6ijZ76KeMsrXG6,1j4a3bBWYNjecFqxcjRtr5,46,0.415,0.0791,7,-20.023,1,0.0488,0.887,0.0,0.0573,0.312,137.314,audio_features,spotify:track:1iVkEiZS6ijZ76KeMsrXG6,https://api.spotify.com/v1/tracks/1iVkEiZS6ijZ76KeMsrXG6,https://api.spotify.com/v1/audio-analysis/1iVkEiZS6ijZ76KeMsrXG6,204573,1
0yLjkpa51CN1uiryMDOrtt,Storm at Sea,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27314b2df570f350a4565010dba', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0214b2df570f350a4565010dba', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485114b2df570f350a4565010dba', 'width': 64}]",2008-02-26,https://open.spotify.com/track/0yLjkpa51CN1uiryMDOrtt,08GEqHGsKncsWA3b4xsaKd,30,0.263,0.174,9,-18.004,0,0.0343,0.539,0.000547,0.123,0.175,163.395,audio_features,spotify:track:0yLjkpa51CN1uiryMDOrtt,https://api.spotify.com/v1/tracks/0yLjkpa51CN1uiryMDOrtt,https://api.spotify.com/v1/audio-analysis/0yLjkpa51CN1uiryMDOrtt,120133,3
2jxJF5RaHcqcUyg3T3FHpW,Part of Your World (Reprise),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27314b2df570f350a4565010dba', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0214b2df570f350a4565010dba', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485114b2df570f350a4565010dba', 'width': 64}]",2008-02-26,https://open.spotify.com/track/2jxJF5RaHcqcUyg3T3FHpW,1j4a3bBWYNjecFqxcjRtr5,36,0.323,0.0261,7,-22.637,0,0.0435,0.865,1.15e-06,0.1,0.255,112.854,audio_features,spotify:track:2jxJF5RaHcqcUyg3T3FHpW,https://api.spotify.com/v1/tracks/2jxJF5RaHcqcUyg3T3FHpW,https://api.spotify.com/v1/audio-analysis/2jxJF5RaHcqcUyg3T3FHpW,122813,4
5eHx8TOZ7UIQLtd6aUWKkK,She's In Love,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27314b2df570f350a4565010dba', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0214b2df570f350a4565010dba', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485114b2df570f350a4565010dba', 'width': 64}]",2008-02-26,https://open.spotify.com/track/5eHx8TOZ7UIQLtd6aUWKkK,3gXU0TLSwAmVvvNzp7NN3u,50,0.6,0.261,0,-16.888,0,0.0711,0.554,0.0,0.593,0.782,137.821,audio_features,spotify:track:5eHx8TOZ7UIQLtd6aUWKkK,https://api.spotify.com/v1/tracks/5eHx8TOZ7UIQLtd6aUWKkK,https://api.spotify.com/v1/audio-analysis/5eHx8TOZ7UIQLtd6aUWKkK,219640,4
0hfFDkS845UKM3BIKXmFBo,Her Voice,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27314b2df570f350a4565010dba', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0214b2df570f350a4565010dba', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485114b2df570f350a4565010dba', 'width': 64}]",2008-02-26,https://open.spotify.com/track/0hfFDkS845UKM3BIKXmFBo,5sPZ2JvkLT9u9kOmDRQS7N,38,0.31,0.136,2,-17.705,1,0.0372,0.813,0.0,0.115,0.212,134.058,audio_features,spotify:track:0hfFDkS845UKM3BIKXmFBo,https://api.spotify.com/v1/tracks/0hfFDkS845UKM3BIKXmFBo,https://api.spotify.com/v1/audio-analysis/0hfFDkS845UKM3BIKXmFBo,195947,4
