external_urls,followers,genres,href,id,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/2NhdGz9EDv2FeUw6udu2g1'},"{'href': None, 'total': 2642425}","['boy band', 'dance pop', 'pop', 'post-teen pop']",https://api.spotify.com/v1/artists/2NhdGz9EDv2FeUw6udu2g1,2NhdGz9EDv2FeUw6udu2g1,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd34d138ebcda9fca6716e70c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d34d138ebcda9fca6716e70c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d34d138ebcda9fca6716e70c', 'width': 160}]",The Wanted,62,artist,spotify:artist:2NhdGz9EDv2FeUw6udu2g1
{'spotify': 'https://open.spotify.com/artist/21E3waRsmPlU7jZsS13rcj'},"{'href': None, 'total': 8469833}","['dance pop', 'pop', 'r&b', 'urban contemporary']",https://api.spotify.com/v1/artists/21E3waRsmPlU7jZsS13rcj,21E3waRsmPlU7jZsS13rcj,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebca118e3822061f7b7f6bc537', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ca118e3822061f7b7f6bc537', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ca118e3822061f7b7f6bc537', 'width': 160}]",Ne-Yo,77,artist,spotify:artist:21E3waRsmPlU7jZsS13rcj
{'spotify': 'https://open.spotify.com/artist/6prmLEyn4LfHlD9NnXWlf7'},"{'href': None, 'total': 1580425}","['dance pop', 'idol', 'pop', 'post-teen pop']",https://api.spotify.com/v1/artists/6prmLEyn4LfHlD9NnXWlf7,6prmLEyn4LfHlD9NnXWlf7,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb28db24a4bb179c012b8ba113', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517428db24a4bb179c012b8ba113', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17828db24a4bb179c012b8ba113', 'width': 160}]",Adam Lambert,58,artist,spotify:artist:6prmLEyn4LfHlD9NnXWlf7
{'spotify': 'https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865'},"{'href': None, 'total': 14302786}","['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",https://api.spotify.com/v1/artists/55Aa2cqylxrFIXC767Z865,55Aa2cqylxrFIXC767Z865,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc1c08e541eae3cc82c6988c4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c1c08e541eae3cc82c6988c4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c1c08e541eae3cc82c6988c4', 'width': 160}]",Lil Wayne,84,artist,spotify:artist:55Aa2cqylxrFIXC767Z865
{'spotify': 'https://open.spotify.com/artist/536BYVgOnRky0xjsPT96zl'},"{'href': None, 'total': 2360230}","['indie rock', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie']",https://api.spotify.com/v1/artists/536BYVgOnRky0xjsPT96zl,536BYVgOnRky0xjsPT96zl,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb86faeb97a905a571b2c361a0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517486faeb97a905a571b2c361a0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17886faeb97a905a571b2c361a0', 'width': 160}]",Two Door Cinema Club,66,artist,spotify:artist:536BYVgOnRky0xjsPT96zl
{'spotify': 'https://open.spotify.com/artist/0id62QV2SZZfvBn9xpmuCl'},"{'href': None, 'total': 714799}","['pop soul', 'r&b']",https://api.spotify.com/v1/artists/0id62QV2SZZfvBn9xpmuCl,0id62QV2SZZfvBn9xpmuCl,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6e32f8634cccacea62a7f5ce', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746e32f8634cccacea62a7f5ce', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786e32f8634cccacea62a7f5ce', 'width': 160}]",Aloe Blacc,62,artist,spotify:artist:0id62QV2SZZfvBn9xpmuCl
{'spotify': 'https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ'},"{'href': None, 'total': 12413950}","['indietronica', 'metropopolis', 'pop', 'uk pop']",https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ,0X2BH1fck6amBIoJhDVmmJ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc3cd7dc428871e8985d62b9a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c3cd7dc428871e8985d62b9a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c3cd7dc428871e8985d62b9a', 'width': 160}]",Ellie Goulding,77,artist,spotify:artist:0X2BH1fck6amBIoJhDVmmJ
{'spotify': 'https://open.spotify.com/artist/75FnCoo4FBxH5K1Rrx0k5A'},"{'href': None, 'total': 1615985}","['contemporary country', 'country', 'country dawn', 'country road']",https://api.spotify.com/v1/artists/75FnCoo4FBxH5K1Rrx0k5A,75FnCoo4FBxH5K1Rrx0k5A,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb173d4b457016fe0727a7e50d', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174173d4b457016fe0727a7e50d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178173d4b457016fe0727a7e50d', 'width': 160}]",The Band Perry,53,artist,spotify:artist:75FnCoo4FBxH5K1Rrx0k5A
{'spotify': 'https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms'},"{'href': None, 'total': 28649485}","['art pop', 'dance pop', 'pop']",https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms,1HY2Jd0NmPuamShAr6KMms,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc8d3d98a1bccbe71393dbfbf', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c8d3d98a1bccbe71393dbfbf', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c8d3d98a1bccbe71393dbfbf', 'width': 160}]",Lady Gaga,82,artist,spotify:artist:1HY2Jd0NmPuamShAr6KMms
{'spotify': 'https://open.spotify.com/artist/3ipn9JLAPI5GUEo4y4jcoi'},"{'href': None, 'total': 2739658}","['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",https://api.spotify.com/v1/artists/3ipn9JLAPI5GUEo4y4jcoi,3ipn9JLAPI5GUEo4y4jcoi,"[{'height': 667, 'url': 'https://i.scdn.co/image/adcc1cb654e89f2e404688ae0d1bbc942ce02e5d', 'width': 1000}, {'height': 427, 'url': 'https://i.scdn.co/image/0515a0dfc9c25cd8290cc4be58abf6f66f21706a', 'width': 640}, {'height': 133, 'url': 'https://i.scdn.co/image/ec9b2c869d9a04eae2fe5be44e285f5a48c97efd', 'width': 200}, {'height': 43, 'url': 'https://i.scdn.co/image/931d3d9ff7243f2a1a3f9d775959b06c28e19ad6', 'width': 64}]",Ludacris,74,artist,spotify:artist:3ipn9JLAPI5GUEo4y4jcoi
