id,name,images,added_date,release_date,url,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f6b55ca93bd33211227b502b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f6b55ca93bd33211227b502b', 'width': 64}]",2022-02-17T23:02:00Z,2010-10-05,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ,0du5cEVh5yTK9QJze8zA0C,86,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,audio_features,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,https://api.spotify.com/v1/tracks/7BqBn9nzAq8spo5e7cZ0dJ,https://api.spotify.com/v1/audio-analysis/7BqBn9nzAq8spo5e7cZ0dJ,220734,4
15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c08d5fa5c0f1a834acef5100', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c08d5fa5c0f1a834acef5100', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c08d5fa5c0f1a834acef5100', 'width': 64}]",2022-02-17T23:02:00Z,2010-06-18,https://open.spotify.com/track/15JINEqzVMv3SvJTAXAKED,7dGJo4pcD2V6oG8kP0tJRR,87,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,audio_features,spotify:track:15JINEqzVMv3SvJTAXAKED,https://api.spotify.com/v1/tracks/15JINEqzVMv3SvJTAXAKED,https://api.spotify.com/v1/audio-analysis/15JINEqzVMv3SvJTAXAKED,263373,4
0SiywuOBRcynK0uKGWdCnn,Bad Romance,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735c9890c0456a3719eeecd8aa', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025c9890c0456a3719eeecd8aa', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515c9890c0456a3719eeecd8aa', 'width': 64}]",2022-02-17T23:02:00Z,2009-11-05,https://open.spotify.com/track/0SiywuOBRcynK0uKGWdCnn,1HY2Jd0NmPuamShAr6KMms,84,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,audio_features,spotify:track:0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/tracks/0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/audio-analysis/0SiywuOBRcynK0uKGWdCnn,294573,4
2GYHyAoLWpkxLVa4oYTVko,Alors on danse - Radio Edit,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ae373174b14e3eac81554402', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02ae373174b14e3eac81554402', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851ae373174b14e3eac81554402', 'width': 64}]",2022-02-17T23:02:00Z,2010-01-01,https://open.spotify.com/track/2GYHyAoLWpkxLVa4oYTVko,5j4HeCoUlzhfWtjAfM1acR,80,0.791,0.59,1,-9.206,0,0.0793,0.0994,0.00203,0.065,0.714,119.951,audio_features,spotify:track:2GYHyAoLWpkxLVa4oYTVko,https://api.spotify.com/v1/tracks/2GYHyAoLWpkxLVa4oYTVko,https://api.spotify.com/v1/audio-analysis/2GYHyAoLWpkxLVa4oYTVko,206067,4
0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737a6339d6ddfd579f77559b3c', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e027a6339d6ddfd579f77559b3c', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048517a6339d6ddfd579f77559b3c', 'width': 64}]",2022-02-17T23:02:00Z,2010-01-01,https://open.spotify.com/track/0HPD5WQqrq7wPWR7P7Dw1i,6LqNN22kT3074XbTVUrhzX,84,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,audio_features,spotify:track:0HPD5WQqrq7wPWR7P7Dw1i,https://api.spotify.com/v1/tracks/0HPD5WQqrq7wPWR7P7Dw1i,https://api.spotify.com/v1/audio-analysis/0HPD5WQqrq7wPWR7P7Dw1i,199693,4
4dTaAiV9xFFCxnPur9c9yL,Memories (feat. Kid Cudi),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b2e43ed3850e072831f7b2c6', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02b2e43ed3850e072831f7b2c6', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851b2e43ed3850e072831f7b2c6', 'width': 64}]",2022-02-17T23:02:00Z,2009-08-21,https://open.spotify.com/track/4dTaAiV9xFFCxnPur9c9yL,1Cs0zKBU1kc0i8ypK3B9ai,69,0.561,0.87,8,-6.103,1,0.343,0.0015,2.82e-06,0.246,0.498,129.98,audio_features,spotify:track:4dTaAiV9xFFCxnPur9c9yL,https://api.spotify.com/v1/tracks/4dTaAiV9xFFCxnPur9c9yL,https://api.spotify.com/v1/audio-analysis/4dTaAiV9xFFCxnPur9c9yL,210093,4
2CEgGE6aESpnmtfiZwYlbV,Dynamite,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27366c3eb32692a0ae487079cf1', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0266c3eb32692a0ae487079cf1', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485166c3eb32692a0ae487079cf1', 'width': 64}]",2022-02-17T23:02:00Z,2010-01-01,https://open.spotify.com/track/2CEgGE6aESpnmtfiZwYlbV,6MF9fzBmfXghAz953czmBC,78,0.751,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975,audio_features,spotify:track:2CEgGE6aESpnmtfiZwYlbV,https://api.spotify.com/v1/tracks/2CEgGE6aESpnmtfiZwYlbV,https://api.spotify.com/v1/audio-analysis/2CEgGE6aESpnmtfiZwYlbV,202613,4
2ENexcMEMsYk0rVJigVD3i,Only Girl (In The World),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27331548865f7c729290b96c794', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0231548865f7c729290b96c794', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485131548865f7c729290b96c794', 'width': 64}]",2022-02-17T23:02:00Z,2010-01-01,https://open.spotify.com/track/2ENexcMEMsYk0rVJigVD3i,5pKCCKE2ajJHZ9KAiaK11H,85,0.789,0.706,11,-4.233,0,0.0429,0.112,1.71e-05,0.0586,0.638,125.911,audio_features,spotify:track:2ENexcMEMsYk0rVJigVD3i,https://api.spotify.com/v1/tracks/2ENexcMEMsYk0rVJigVD3i,https://api.spotify.com/v1/audio-analysis/2ENexcMEMsYk0rVJigVD3i,235493,4
6tS3XVuOyu10897O3ae7bi,California Gurls,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273937af329667311f4b2831616', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02937af329667311f4b2831616', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851937af329667311f4b2831616', 'width': 64}]",2022-02-17T23:02:00Z,2012-03-12,https://open.spotify.com/track/6tS3XVuOyu10897O3ae7bi,6jJ0s89eD6GaHleKKya26X,76,0.791,0.754,0,-3.729,1,0.0569,0.00446,0.0,0.163,0.425,125.014,audio_features,spotify:track:6tS3XVuOyu10897O3ae7bi,https://api.spotify.com/v1/tracks/6tS3XVuOyu10897O3ae7bi,https://api.spotify.com/v1/audio-analysis/6tS3XVuOyu10897O3ae7bi,234653,4
4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister","[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736ff8bc258e3ebc835ffe14ca', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e026ff8bc258e3ebc835ffe14ca', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048516ff8bc258e3ebc835ffe14ca', 'width': 64}]",2022-02-17T23:02:00Z,2010-12-01,https://open.spotify.com/track/4HlFJV71xXKIGcU3kRyttv,3FUY2gzHeIiaesXtOAdB7A,85,0.673,0.886,1,-4.44,0,0.0431,0.185,0.0,0.0826,0.795,97.012,audio_features,spotify:track:4HlFJV71xXKIGcU3kRyttv,https://api.spotify.com/v1/tracks/4HlFJV71xXKIGcU3kRyttv,https://api.spotify.com/v1/audio-analysis/4HlFJV71xXKIGcU3kRyttv,216773,4
161DnLWsx1i3u1JT05lzqU,Talking to the Moon,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f6b55ca93bd33211227b502b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f6b55ca93bd33211227b502b', 'width': 64}]",2022-02-17T23:02:00Z,2010-10-05,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU,0du5cEVh5yTK9QJze8zA0C,84,0.498,0.59,1,-4.721,0,0.032,0.511,0.0,0.107,0.0784,145.867,audio_features,spotify:track:161DnLWsx1i3u1JT05lzqU,https://api.spotify.com/v1/tracks/161DnLWsx1i3u1JT05lzqU,https://api.spotify.com/v1/audio-analysis/161DnLWsx1i3u1JT05lzqU,217867,4
6epn3r7S14KUqlReYr77hA,Baby,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273629dc9e2e3bc20bbd7d92e4a', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02629dc9e2e3bc20bbd7d92e4a', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851629dc9e2e3bc20bbd7d92e4a', 'width': 64}]",2022-02-17T23:02:00Z,2010-01-01,https://open.spotify.com/track/6epn3r7S14KUqlReYr77hA,1uNFoZAHBGtllmzznpCI3s,84,0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,audio_features,spotify:track:6epn3r7S14KUqlReYr77hA,https://api.spotify.com/v1/tracks/6epn3r7S14KUqlReYr77hA,https://api.spotify.com/v1/audio-analysis/6epn3r7S14KUqlReYr77hA,214240,4
4356Typ82hUiFAynbLYbPn,DJ Got Us Fallin' In Love (feat. Pitbull),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27386b0c9728ad3ed338eaeea79', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0286b0c9728ad3ed338eaeea79', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485186b0c9728ad3ed338eaeea79', 'width': 64}]",2022-02-17T23:02:00Z,2010-03-30,https://open.spotify.com/track/4356Typ82hUiFAynbLYbPn,23zg3TcAtWQy7J6upgbUnj,82,0.663,0.861,7,-3.398,0,0.109,0.0338,0.0,0.082,0.654,119.963,audio_features,spotify:track:4356Typ82hUiFAynbLYbPn,https://api.spotify.com/v1/tracks/4356Typ82hUiFAynbLYbPn,https://api.spotify.com/v1/audio-analysis/4356Typ82hUiFAynbLYbPn,220800,4
7Ie9W94M7OjPoZVV216Xus,Not Afraid,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c08d5fa5c0f1a834acef5100', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c08d5fa5c0f1a834acef5100', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c08d5fa5c0f1a834acef5100', 'width': 64}]",2022-02-17T23:02:00Z,2010-06-18,https://open.spotify.com/track/7Ie9W94M7OjPoZVV216Xus,7dGJo4pcD2V6oG8kP0tJRR,82,0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635,audio_features,spotify:track:7Ie9W94M7OjPoZVV216Xus,https://api.spotify.com/v1/tracks/7Ie9W94M7OjPoZVV216Xus,https://api.spotify.com/v1/audio-analysis/7Ie9W94M7OjPoZVV216Xus,248133,5
