id,name,images,added_date,release_date,url,artist,popularity,error
4LRPiXqCikLlN15c3yImP7,As It Was,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b46f74097655d7f353caab14', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02b46f74097655d7f353caab14', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851b46f74097655d7f353caab14', 'width': 64}]",2022-03-31T23:20:52Z,2022-03-31,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7,6KImCVD70vtIoJWnq6nGn3,60,{'status': 429}
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02bb54dde68cd23e2a268ae0f5', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851bb54dde68cd23e2a268ae0f5', 'width': 64}]",2022-10-22T16:50:41Z,2022-10-21,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu,06HL4z0CvFAxyc27GXpf02,92,{'status': 429}
02MWAaffLxlfxAUY7c5dvx,Heat Waves,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739e495fb707973f3390850eea', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029e495fb707973f3390850eea', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519e495fb707973f3390850eea', 'width': 64}]",2022-01-16T05:45:02Z,2020-08-06,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx,4yvcSjfu4PC0CYQyLy4wSq,27,{'status': 429}
3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a935e4689f15953311772cc4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a935e4689f15953311772cc4', 'width': 64}]",2022-09-23T21:23:27Z,2022-09-22,https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG,2wY79sveU1sp5g7SokKOiI,85,{'status': 429}
1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0249d694203245f241a1bcaa72', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485149d694203245f241a1bcaa72', 'width': 64}]",2022-11-28T15:03:29Z,2022-05-06,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ,4q3ewBCX7sLwd24euuV69X,86,{'status': 429}
1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730e58a0f8308c1ad403d105e7', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e020e58a0f8308c1ad403d105e7', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048510e58a0f8308c1ad403d105e7', 'width': 64}]",2022-09-24T04:03:17Z,2022-07-29,https://open.spotify.com/track/1xzi1Jcr7mEi9K2RfzLOqS,6vWDO969PvNqNYHIOW5v0m,84,{'status': 429}
29d0nY7TzCoi22XBqDQkiP,Running Up That Hill (A Deal With God) - 2018 Remaster,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735c390e413e27798edd4d18b4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025c390e413e27798edd4d18b4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515c390e413e27798edd4d18b4', 'width': 64}]",2022-06-24T17:17:24Z,1985-09-16,https://open.spotify.com/track/29d0nY7TzCoi22XBqDQkiP,1aSxMhuvixZ8h9dK9jIDwL,19,{'status': 429}
6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27308596cc28b9f5b00bfe08ae7', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0208596cc28b9f5b00bfe08ae7', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485108596cc28b9f5b00bfe08ae7', 'width': 64}]",2022-06-19T18:50:15Z,2022-06-10,https://open.spotify.com/track/6xGruZOHLs39ZbVccQTuPZ,3MZsBdqDrRTJihTHQrO6Dq,84,{'status': 429}
4fouWK6XVHhzl78KzQ1UjL,abcdefu,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732842f743ebd32235bceb43d3', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e022842f743ebd32235bceb43d3', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048512842f743ebd32235bceb43d3', 'width': 64}]",2022-01-16T05:44:35Z,2021-08-13,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,2VSHKHBTiXWplO8lxcnUC9,81,{'status': 429}
4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0268968350c2550e36d96344ee', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485168968350c2550e36d96344ee', 'width': 64}]",2022-07-23T17:36:31Z,2022-07-15,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy,57vWImR43h4CaDao012Ofp,83,{'status': 429}
