name,added_date,release_date,track_id,artist_id,track_pop,image,url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Every Breath You Take,2023-02-05T15:45:11Z,1983-06-17,1JSTJqkT5qHq8MDJnJbRE1,5NGO30tJxFlKixkPSgXcFE,91,https://i.scdn.co/image/ab67616d0000b273c8e97cafeb2acb85b21a777e,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,253920,4
(I Just) Died In Your Arms,2023-02-05T15:45:11Z,1986-01-01,4ByEFOBuLXpCqvO1kw8Wdm,3cniTumSiUysiPWXapGx1i,82,https://i.scdn.co/image/ab67616d0000b273fb2faa3ed46d1d0124ca325e,https://open.spotify.com/track/4ByEFOBuLXpCqvO1kw8Wdm,0.625,0.726,11,-11.402,0,0.0444,0.0158,0.000169,0.0625,0.507,124.945,280400,4
Shape Of My Heart,2023-02-05T15:45:11Z,1993-03-09,6CKoWCWAqEVWVjpeoJXyNH,0Ty63ceoRnnJKVEYP0VQpk,76,https://i.scdn.co/image/ab67616d0000b273653b110d9560eb1656f4c583,https://open.spotify.com/track/6CKoWCWAqEVWVjpeoJXyNH,0.537,0.373,6,-10.081,0,0.0331,0.691,0.000915,0.083,0.244,83.936,279227,4
Careless Whisper,2023-02-05T15:45:11Z,1998-11-09,4jDmJ51x1o9NZB5Nxxc7gY,19ra5tSw0tWufvUp8GotLo,85,https://i.scdn.co/image/ab67616d0000b27364c19b24ce947ffa363f8f96,https://open.spotify.com/track/4jDmJ51x1o9NZB5Nxxc7gY,0.574,0.628,2,-8.815,0,0.036,0.13,0.0,0.271,0.803,153.119,300107,4
Whistle For The Choir,2023-02-05T15:45:11Z,2007-01-01,3jp7Ryj1sX3riA7NQaVlLd,3M4ThdJR28z9eSMcQHAZ5G,53,https://i.scdn.co/image/ab67616d0000b27390b7c466e878862b5a9cece3,https://open.spotify.com/track/3jp7Ryj1sX3riA7NQaVlLd,0.599,0.691,4,-4.571,1,0.0301,0.0489,0.0,0.0835,0.729,131.578,215853,4
Don't Stop Me Now,2023-02-05T15:45:11Z,2020-08-10,0DrDcqWpokMlhKYJSwoT4B,0LyfQWJT6nXafLPZqxe9Of,67,https://i.scdn.co/image/ab67616d0000b2731e8d8ca012d1289cafba4242,https://open.spotify.com/track/0DrDcqWpokMlhKYJSwoT4B,0.474,0.861,0,-5.984,1,0.26,0.0237,0.0158,0.664,0.6,156.333,209160,4
Only You,2023-02-05T15:45:11Z,1984,1U2L6NW89IIy6Gw63C4eP2,41A6Xdil8qhaD2DcS4X1wA,56,https://i.scdn.co/image/ab67616d0000b273a02fe57a83853efcbbe6e7b3,https://open.spotify.com/track/1U2L6NW89IIy6Gw63C4eP2,0.554,0.332,8,-9.834,1,0.025,0.774,1.56e-06,0.0932,0.542,99.329,203333,4
Words - Original Version 1983,2023-02-05T15:45:11Z,1983-01-01,1HPJOoIVdUPuaebxzMrVaD,6GnCucI2uDaYj1j39GFxkn,76,https://i.scdn.co/image/ab67616d0000b2734742af6d5c9eae5f7f63ee5e,https://open.spotify.com/track/1HPJOoIVdUPuaebxzMrVaD,0.537,0.789,10,-5.578,0,0.0549,0.372,2.66e-05,0.138,0.527,123.763,209013,4
Time After Time,2023-02-05T15:45:11Z,1983-10-14,7o9uu2GDtVDr9nsR7ZRN73,2BTZIqw0ntH9MvilQ3ewNY,82,https://i.scdn.co/image/ab67616d0000b27352f532df7ba3269b0242fed9,https://open.spotify.com/track/7o9uu2GDtVDr9nsR7ZRN73,0.726,0.449,0,-9.206,1,0.0286,0.487,1.34e-06,0.0824,0.294,130.388,241333,4
The Lady In Red,2023-02-05T15:45:11Z,1986-01-01,1GeNWyZtCHbcp3ZWp8GTOO,2RpHsROrX075xfIwHn6B2U,78,https://i.scdn.co/image/ab67616d0000b273c5b341a19b01d6b3d89a8e6a,https://open.spotify.com/track/1GeNWyZtCHbcp3ZWp8GTOO,0.548,0.294,10,-17.112,1,0.0333,0.332,3.34e-06,0.0392,0.491,76.698,256173,4
